ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
360ONE,360 ONE WAM Ltd,Financial Services,17.03,13.94,31.18,45.1,FY2020-FY2024,2024-12-25
3MINDIA,3M India Ltd,Diversified,19.25,7.0,12.61,56.53,FY2020-FY2024,2024-12-25
ABB,ABB India Ltd,Capital Goods,,,,78.79,FY2020-FY2024,2024-12-25
ACC,ACC Ltd,Construction Materials,14.13,,,16.19,FY2020-FY2024,2024-12-25
ACMESOLAR,ACME Solar Holdings Ltd,Power,8.8,-5.79,52.13,4.33,FY2020-FY2024,2024-12-25
AIAENG,AIA Engineering Ltd,Capital Goods,16.6,10.32,13.98,30.02,FY2020-FY2024,2024-12-25
APLAPOLLO,APL Apollo Tubes Ltd,Capital Goods,24.84,18.6,22.47,67.43,FY2020-FY2024,2024-12-25
AUBANK,AU Small Finance Bank Ltd,Banks,16.95,19.75,15.64,20.28,FY2020-FY2024,2024-12-25
AWL,AWL Agri Business Ltd,Fast Moving Consumer Goods,13.69,11.55,-50.99,34.44,FY2020-FY2024,2024-12-25
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,14.97,13.26,-16.92,20.61,FY2020-FY2024,2024-12-25
AARTIIND,Aarti Industries Ltd,Chemicals,17.06,8.76,-5.68,40.46,FY2020-FY2024,2024-12-25
AAVAS,AAVAS Financiers Ltd,Financial Services,13.45,17.45,14.29,26.97,FY2020-FY2024,2024-12-25
ABBOTINDIA,Abbott India Ltd,Healthcare,30.02,7.4,15.17,45.48,FY2020-FY2024,2024-12-25
ACE,Action Construction Equipment Ltd,Capital Goods,19.2,20.31,42.87,45.68,FY2020-FY2024,2024-12-25
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,22.07,24.47,-15.01,70.44,FY2020-FY2024,2024-12-25
ADANIENSOL,Adani Energy Solutions Ltd,Power,11.62,7.78,8.64,125.74,FY2020-FY2024,2024-12-25
ADANIENT,Adani Enterprises Ltd,Metals & Mining,6.94,17.31,22.39,80.63,FY2020-FY2024,2024-12-25
ADANIGREEN,Adani Green Energy Ltd,Power,0.55,57.28,,440.28,FY2020-FY2024,2024-12-25
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Services,15.17,17.61,15.18,25.44,FY2020-FY2024,2024-12-25
ADANIPOWER,Adani Power Ltd,Power,23.72,115.27,,17.97,FY2020-FY2024,2024-12-25
ATGL,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,25.07,19.0,8.86,110.3,FY2020-FY2024,2024-12-25
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,13.83,15.26,27.49,13.06,FY2020-FY2024,2024-12-25
ABFRL,Aditya Birla Fashion & Retail Ltd,Consumer Services,-10.31,-9.86,,,FY2020-FY2024,2024-12-25
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,,,,,FY2020-FY2024,2024-12-25
ABREL,Aditya Birla Real Estate Ltd,Realty,4.53,-20.3,-32.68,,FY2020-FY2024,2024-12-25
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,32.19,5.78,-37.08,25.01,FY2020-FY2024,2024-12-25
CPPLUS,Aditya Infotech Ltd,Capital Goods,31.09,17.58,51.79,,FY2020-FY2024,2024-12-25
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,15.47,-0.38,40.81,48.5,FY2020-FY2024,2024-12-25
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,2.98,,,,FY2020-FY2024,2024-12-25
AFCONS,Afcons Infrastructure Ltd,Construction,14.22,5.96,-17.3,35.22,FY2020-FY2024,2024-12-25
AFFLE,Affle 3i Ltd,Information Technology,30.21,40.72,32.76,68.63,FY2020-FY2024,2024-12-25
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,21.33,10.22,12.26,39.25,FY2020-FY2024,2024-12-25
ALKEM,Alkem Laboratories Ltd,Healthcare,18.96,8.71,9.76,30.44,FY2020-FY2024,2024-12-25
ABDL,Allied Blenders & Distillers Ltd,Fast Moving Consumer Goods,0.51,2.12,-33.54,100.44,FY2020-FY2024,2024-12-25
ARE&M,Amara Raja Energy & Mobility Ltd,Automobile and Auto Components,15.1,11.35,5.7,21.09,FY2020-FY2024,2024-12-25
AMBER,Amber Enterprises India Ltd,Consumer Durables,8.85,11.17,-4.77,104.85,FY2020-FY2024,2024-12-25
AMBUJACEM,Ambuja Cements Ltd,Construction Materials,7.13,,,39.64,FY2020-FY2024,2024-12-25
ANANDRATHI,Anand Rathi Wealth Ltd,Financial Services,37.32,17.48,18.84,57.7,FY2020-FY2024,2024-12-25
ANANTRAJ,Anant Raj Ltd,Realty,3.44,39.97,53.0,73.72,FY2020-FY2024,2024-12-25
ANGELONE,Angel One Ltd,Financial Services,37.19,41.69,63.7,18.91,FY2020-FY2024,2024-12-25
ANTHEM,Anthem Biosciences Ltd,Healthcare,33.17,17.52,-43.15,,FY2020-FY2024,2024-12-25
ANURAS,Anupam Rasayan India Ltd,Chemicals,8.6,22.76,1.93,99.0,FY2020-FY2024,2024-12-25
APARINDS,Apar Industries Ltd,Capital Goods,19.94,16.82,42.21,50.55,FY2020-FY2024,2024-12-25
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,13.32,11.13,13.83,79.74,FY2020-FY2024,2024-12-25
APOLLOTYRE,Apollo Tyres Ltd,Automobile and Auto Components,7.03,9.19,26.62,26.17,FY2020-FY2024,2024-12-25
APTUS,Aptus Value Housing Finance India Ltd,Financial Services,16.08,22.25,-11.62,21.99,FY2020-FY2024,2024-12-25
ASAHIINDIA,Asahi India Glass Ltd,Automobile and Auto Components,15.31,10.43,16.37,51.83,FY2020-FY2024,2024-12-25
ASHOKLEY,Ashok Leyland Ltd,Capital Goods,9.75,15.8,49.31,22.71,FY2020-FY2024,2024-12-25
ASIANPAINT,Asian Paints Ltd,Consumer Durables,27.92,11.92,15.08,51.66,FY2020-FY2024,2024-12-25
ASTERDM,Aster DM Healthcare Ltd,Healthcare,9.98,-15.63,-14.11,4.77,FY2020-FY2024,2024-12-25
ASTRAL,Astral Ltd,Capital Goods,20.47,16.95,17.06,87.92,FY2020-FY2024,2024-12-25
ATHERENERG,Ather Energy Ltd,Automobile and Auto Components,-131.76,118.77,,,FY2020-FY2024,2024-12-25
ATUL,Atul Ltd,Chemicals,14.84,2.92,-13.36,49.79,FY2020-FY2024,2024-12-25
AUROPHARMA,Aurobindo Pharma Ltd,Healthcare,15.22,4.66,2.2,20.94,FY2020-FY2024,2024-12-25
AIIL,Authum Investment & Infrastructure Ltd,Financial Services,17.9,,,7.12,FY2020-FY2024,2024-12-25
DMART,Avenue Supermarts Ltd,Consumer Services,13.43,15.35,14.17,82.77,FY2020-FY2024,2024-12-25
AXISBANK,Axis Bank Ltd,Banks,10.03,12.09,67.06,11.84,FY2020-FY2024,2024-12-25
BEML,BEML Ltd,Capital Goods,5.86,6.03,34.56,64.37,FY2020-FY2024,2024-12-25
BLS,BLS International Services Ltd,Consumer Services,21.59,16.36,42.8,43.85,FY2020-FY2024,2024-12-25
BSE,BSE Ltd,Financial Services,10.64,20.82,44.72,79.99,FY2020-FY2024,2024-12-25
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile and Auto Components,22.31,8.44,8.92,32.5,FY2020-FY2024,2024-12-25
BAJFINANCE,Bajaj Finance Ltd,Financial Services,19.19,15.82,21.69,26.59,FY2020-FY2024,2024-12-25
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,24.6,15.22,19.26,29.11,FY2020-FY2024,2024-12-25
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financial Services,11.83,31.37,19.42,16.47,FY2020-FY2024,2024-12-25
BAJAJHFL,Bajaj Housing Finance Ltd,Financial Services,12.18,23.55,24.57,50.02,FY2020-FY2024,2024-12-25
BALKRISIND,Balkrishna Industries Ltd,Automobile and Auto Components,19.2,14.26,8.93,30.71,FY2020-FY2024,2024-12-25
BALRAMCHIN,Balrampur Chini Mills Ltd,Fast Moving Consumer Goods,17.24,3.36,2.33,25.72,FY2020-FY2024,2024-12-25
BANDHANBNK,Bandhan Bank Ltd,Banks,11.97,11.63,-5.92,10.67,FY2020-FY2024,2024-12-25
BANKBARODA,Bank of Baroda,Banks,8.93,8.45,78.37,6.23,FY2020-FY2024,2024-12-25
BANKINDIA,Bank of India,Banks,4.32,7.47,,5.81,FY2020-FY2024,2024-12-25
MAHABANK,Bank of Maharashtra,Banks,11.74,12.26,53.26,7.43,FY2020-FY2024,2024-12-25
BATAINDIA,Bata India Ltd,Consumer Durables,11.32,2.63,-4.41,49.23,FY2020-FY2024,2024-12-25
BAYERCROP,Bayer CropScience Ltd,Chemicals,23.99,7.19,9.31,49.78,FY2020-FY2024,2024-12-25
BELRISE,Belrise Industries Ltd,Automobile and Auto Components,14.37,9.52,,,FY2020-FY2024,2024-12-25
BERGEPAINT,Berger Paints India Ltd,Consumer Durables,23.3,11.96,12.18,45.36,FY2020-FY2024,2024-12-25
BDL,Bharat Dynamics Ltd,Capital Goods,15.68,-5.27,2.75,78.6,FY2020-FY2024,2024-12-25
BEL,Bharat Electronics Ltd,Capital Goods,21.72,9.34,16.87,43.16,FY2020-FY2024,2024-12-25
BHARATFORG,Bharat Forge Ltd,Automobile and Auto Components,8.59,14.25,22.16,67.99,FY2020-FY2024,2024-12-25
