ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
360ONE,360 ONE WAM Ltd,Financial Services,19.52,17.37,19.73,36.03,FY2021-FY2025,2025-09-25
3MINDIA,3M India Ltd,Diversified,17.86,12.94,26.1,60.65,FY2021-FY2025,2025-09-25
ABB,ABB India Ltd,Capital Goods,,,,63.66,FY2021-FY2025,2025-09-25
ACC,ACC Ltd,Construction Materials,14.14,,,10.62,FY2021-FY2025,2025-09-25
ACMESOLAR,ACME Solar Holdings Ltd,Power,8.46,-3.65,23.35,36.17,FY2021-FY2025,2025-09-25
AIAENG,AIA Engineering Ltd,Capital Goods,16.45,8.27,13.62,25.3,FY2021-FY2025,2025-09-25
APLAPOLLO,APL Apollo Tubes Ltd,Capital Goods,24.3,19.47,13.6,44.54,FY2021-FY2025,2025-09-25
AUBANK,AU Small Finance Bank Ltd,Banks,16.21,26.55,8.57,25.07,FY2021-FY2025,2025-09-25
AWL,AWL Agri Business Ltd,Fast Moving Consumer Goods,12.52,11.41,-31.76,31.26,FY2021-FY2025,2025-09-25
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,15.98,14.56,19.65,23.4,FY2021-FY2025,2025-09-25
AARTIIND,Aarti Industries Ltd,Chemicals,14.37,10.04,-9.48,48.14,FY2021-FY2025,2025-09-25
AAVAS,AAVAS Financiers Ltd,Financial Services,13.76,16.38,14.48,21.72,FY2021-FY2025,2025-09-25
ABBOTINDIA,Abbott India Ltd,Healthcare,31.81,8.26,15.41,42.56,FY2021-FY2025,2025-09-25
ACE,Action Construction Equipment Ltd,Capital Goods,22.59,22.08,37.35,32.91,FY2021-FY2025,2025-09-25
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,19.7,24.18,17.73,53.02,FY2021-FY2025,2025-09-25
ADANIENSOL,Adani Energy Solutions Ltd,Power,10.98,19.08,-4.55,49.26,FY2021-FY2025,2025-09-25
ADANIENT,Adani Enterprises Ltd,Metals & Mining,9.21,19.88,49.01,44.16,FY2021-FY2025,2025-09-25
ADANIGREEN,Adani Green Energy Ltd,Power,15.91,29.12,46.75,90.59,FY2021-FY2025,2025-09-25
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Services,15.98,19.42,15.88,26.05,FY2021-FY2025,2025-09-25
ADANIPOWER,Adani Power Ltd,Power,34.28,16.47,59.01,25.98,FY2021-FY2025,2025-09-25
ATGL,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,21.65,24.14,7.16,127.06,FY2021-FY2025,2025-09-25
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,14.65,16.1,22.36,23.3,FY2021-FY2025,2025-09-25
ABFRL,Aditya Birla Fashion & Retail Ltd,Consumer Services,-8.37,1.6,,,FY2021-FY2025,2025-09-25
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,,,,,FY2021-FY2025,2025-09-25
ABREL,Aditya Birla Real Estate Ltd,Realty,3.68,-34.16,,351.12,FY2021-FY2025,2025-09-25
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,29.81,10.52,-35.65,24.09,FY2021-FY2025,2025-09-25
CPPLUS,Aditya Infotech Ltd,Capital Goods,34.61,22.05,-22.88,79.1,FY2021-FY2025,2025-09-25
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,17.41,11.97,24.34,38.3,FY2021-FY2025,2025-09-25
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,4.55,,,161.46,FY2021-FY2025,2025-09-25
AFCONS,Afcons Infrastructure Ltd,Construction,13.57,6.0,-10.61,33.29,FY2021-FY2025,2025-09-25
AFFLE,Affle 3i Ltd,Information Technology,24.28,34.39,20.79,69.87,FY2021-FY2025,2025-09-25
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,22.46,9.97,7.9,32.65,FY2021-FY2025,2025-09-25
ALKEM,Alkem Laboratories Ltd,Healthcare,18.97,7.9,6.44,28.08,FY2021-FY2025,2025-09-25
ABDL,Allied Blenders & Distillers Ltd,Fast Moving Consumer Goods,4.41,8.43,129.28,57.92,FY2021-FY2025,2025-09-25
ARE&M,Amara Raja Energy & Mobility Ltd,Automobile and Auto Components,13.98,12.43,6.39,20.48,FY2021-FY2025,2025-09-25
AMBER,Amber Enterprises India Ltd,Consumer Durables,8.05,26.9,24.35,125.31,FY2021-FY2025,2025-09-25
AMBUJACEM,Ambuja Cements Ltd,Construction Materials,6.86,,,32.03,FY2021-FY2025,2025-09-25
ANANDRATHI,Anand Rathi Wealth Ltd,Financial Services,38.39,29.13,34.77,71.88,FY2021-FY2025,2025-09-25
ANANTRAJ,Anant Raj Ltd,Realty,5.43,52.47,102.97,46.33,FY2021-FY2025,2025-09-25
