ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
GPIL,Godawari Power & Ispat Ltd,Capital Goods,30.96,6.34,6.01,23.35,FY2021-FY2025,2025-12-25
GODFRYPHLP,Godfrey Phillips India Ltd,Fast Moving Consumer Goods,19.67,17.32,23.27,34.63,FY2021-FY2025,2025-12-25
GODREJCP,Godrej Consumer Products Ltd,Fast Moving Consumer Goods,12.21,5.43,1.48,67.18,FY2021-FY2025,2025-12-25
GODREJIND,Godrej Industries Ltd,Diversified,13.22,16.06,24.0,34.62,FY2021-FY2025,2025-12-25
GODREJPROP,Godrej Properties Ltd,Realty,4.96,27.89,,149.15,FY2021-FY2025,2025-12-25
GRANULES,Granules India Ltd,Healthcare,18.32,6.72,-1.39,27.35,FY2021-FY2025,2025-12-25
GRAPHITE,Graphite India Ltd,Capital Goods,10.4,5.64,17.81,27.93,FY2021-FY2025,2025-12-25
GRASIM,Grasim Industries Ltd,Construction Materials,12.37,14.21,-2.96,42.75,FY2021-FY2025,2025-12-25
GRAVITA,Gravita India Ltd,Metals & Mining,33.09,22.37,40.98,35.64,FY2021-FY2025,2025-12-25
GESHIP,Great Eastern Shipping Company Ltd,Services,17.88,9.79,21.31,7.0,FY2021-FY2025,2025-12-25
FLUOROCHEM,Gujarat Fluorochemicals Ltd,Chemicals,11.64,12.58,,59.15,FY2021-FY2025,2025-12-25
GMDCLTD,Gujarat Mineral Development Corporation Ltd,Metals & Mining,10.63,16.49,,16.87,FY2021-FY2025,2025-12-25
HEG,HEG Ltd,Capital Goods,5.97,11.4,,36.87,FY2021-FY2025,2025-12-25
HBLENGINE,HBL Engineering Ltd,Capital Goods,14.03,16.62,82.02,30.49,FY2021-FY2025,2025-12-25
HCLTECH,HCL Technologies Ltd,Information Technology,22.87,9.2,9.3,27.69,FY2021-FY2025,2025-12-25
HDBFS,HDB Financial Services Ltd,Financial Services,16.05,8.29,40.69,26.83,FY2021-FY2025,2025-12-25
HDFCAMC,HDFC Asset Management Company Ltd,Financial Services,28.7,13.04,13.08,40.33,FY2021-FY2025,2025-12-25
HDFCBANK,HDFC Bank Ltd,Banks,16.59,21.21,9.89,20.53,FY2021-FY2025,2025-12-25
HDFCLIFE,HDFC Life Insurance Company Ltd,Financial Services,12.25,5.37,4.56,87.11,FY2021-FY2025,2025-12-25
HFCL,HFCL Ltd,Telecommunication,10.44,-1.67,-7.94,200.79,FY2021-FY2025,2025-12-25
HAVELLS,Havells India Ltd,Consumer Durables,19.42,15.8,7.08,60.2,FY2021-FY2025,2025-12-25
HEROMOTOCO,Hero MotoCorp Ltd,Automobile and Auto Components,19.46,5.74,8.43,21.11,FY2021-FY2025,2025-12-25
HEXT,Hexaware Technologies Ltd,Information Technology,,,,47.93,FY2021-FY2025,2025-12-25
HSCL,Himadri Speciality Chemical Ltd,Chemicals,9.41,22.4,58.35,33.9,FY2021-FY2025,2025-12-25
HINDALCO,Hindalco Industries Ltd,Metals & Mining,12.05,12.56,35.65,12.07,FY2021-FY2025,2025-12-25
HAL,Hindustan Aeronautics Ltd,Capital Goods,26.82,6.25,20.84,33.13,FY2021-FY2025,2025-12-25
HINDCOPPER,Hindustan Copper Ltd,Metals & Mining,16.54,2.99,32.23,59.53,FY2021-FY2025,2025-12-25
HINDPETRO,Hindustan Petroleum Corporation Ltd,Oil Gas & Consumable Fuels,16.89,13.23,-8.3,6.57,FY2021-FY2025,2025-12-25
HINDUNILVR,Hindustan Unilever Ltd,Fast Moving Consumer Goods,21.78,5.45,5.9,37.28,FY2021-FY2025,2025-12-25
HINDZINC,Hindustan Zinc Ltd,Metals & Mining,50.3,8.54,5.34,21.83,FY2021-FY2025,2025-12-25
POWERINDIA,Hitachi Energy India Ltd,Capital Goods,11.51,,,97.83,FY2021-FY2025,2025-12-25
HOMEFIRST,Home First Finance Company India Ltd,Financial Services,13.33,25.77,29.93,22.81,FY2021-FY2025,2025-12-25
HONASA,Honasa Consumer Ltd,Fast Moving Consumer Goods,5.51,32.32,,58.56,FY2021-FY2025,2025-12-25
HONAUT,Honeywell Automation India Ltd,Capital Goods,14.97,6.61,2.62,58.37,FY2021-FY2025,2025-12-25
HUDCO,Housing & Urban Development Corporation Ltd,Financial Services,13.0,7.32,11.39,15.54,FY2021-FY2025,2025-12-25
HYUNDAI,Hyundai Motor India Ltd,Automobile and Auto Components,27.67,10.71,,33.08,FY2021-FY2025,2025-12-25
ICICIBANK,ICICI Bank Ltd,Banks,17.35,15.88,21.94,18.37,FY2021-FY2025,2025-12-25
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financial Services,17.99,14.53,9.33,35.63,FY2021-FY2025,2025-12-25
ICICIAMC,ICICI Prudential Asset Management Co Ltd,Financial Services,77.17,17.42,16.31,3.2,FY2021-FY2025,2025-12-25
