ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
360ONE,360 ONE WAM Ltd,Financial Services,17.03,13.94,31.18,34.84,FY2020-FY2024,2024-06-25
3MINDIA,3M India Ltd,Diversified,19.25,7.0,12.61,69.96,FY2020-FY2024,2024-06-25
ABB,ABB India Ltd,Capital Goods,,,,110.96,FY2020-FY2024,2024-06-25
ACC,ACC Ltd,Construction Materials,14.13,,,24.0,FY2020-FY2024,2024-06-25
ACMESOLAR,ACME Solar Holdings Ltd,Power,8.8,-5.79,52.13,,FY2020-FY2024,2024-06-25
AIAENG,AIA Engineering Ltd,Capital Goods,16.6,10.32,13.98,35.71,FY2020-FY2024,2024-06-25
APLAPOLLO,APL Apollo Tubes Ltd,Capital Goods,24.84,18.6,22.47,62.42,FY2020-FY2024,2024-06-25
AUBANK,AU Small Finance Bank Ltd,Banks,16.95,19.75,15.64,27.91,FY2020-FY2024,2024-06-25
AWL,AWL Agri Business Ltd,Fast Moving Consumer Goods,13.69,11.55,-50.99,81.38,FY2020-FY2024,2024-06-25
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,14.97,13.26,-16.92,19.84,FY2020-FY2024,2024-06-25
AARTIIND,Aarti Industries Ltd,Chemicals,17.06,8.76,-5.68,53.06,FY2020-FY2024,2024-06-25
AAVAS,AAVAS Financiers Ltd,Financial Services,13.45,17.45,14.29,30.87,FY2020-FY2024,2024-06-25
ABBOTINDIA,Abbott India Ltd,Healthcare,30.02,7.4,15.17,46.05,FY2020-FY2024,2024-06-25
ACE,Action Construction Equipment Ltd,Capital Goods,19.2,20.31,42.87,51.43,FY2020-FY2024,2024-06-25
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,22.07,24.47,-15.01,140.24,FY2020-FY2024,2024-06-25
ADANIENSOL,Adani Energy Solutions Ltd,Power,11.62,7.78,8.64,821.59,FY2020-FY2024,2024-06-25
ADANIENT,Adani Enterprises Ltd,Metals & Mining,6.94,17.31,22.39,101.28,FY2020-FY2024,2024-06-25
ADANIGREEN,Adani Green Energy Ltd,Power,0.55,57.28,,,FY2020-FY2024,2024-06-25
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Services,15.17,17.61,15.18,35.23,FY2020-FY2024,2024-06-25
ADANIPOWER,Adani Power Ltd,Power,23.72,115.27,,20.75,FY2020-FY2024,2024-06-25
ATGL,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,25.07,19.0,8.86,147.2,FY2020-FY2024,2024-06-25
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,13.83,15.26,27.49,18.21,FY2020-FY2024,2024-06-25
ABFRL,Aditya Birla Fashion & Retail Ltd,Consumer Services,-10.31,-9.86,,,FY2020-FY2024,2024-06-25
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,,,,,FY2020-FY2024,2024-06-25
ABREL,Aditya Birla Real Estate Ltd,Realty,4.53,-20.3,-32.68,384.37,FY2020-FY2024,2024-06-25
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,32.19,5.78,-37.08,22.82,FY2020-FY2024,2024-06-25
CPPLUS,Aditya Infotech Ltd,Capital Goods,31.09,17.58,51.79,,FY2020-FY2024,2024-06-25
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,15.47,-0.38,40.81,48.39,FY2020-FY2024,2024-06-25
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,2.98,,,,FY2020-FY2024,2024-06-25
AFCONS,Afcons Infrastructure Ltd,Construction,14.22,5.96,-17.3,,FY2020-FY2024,2024-06-25
AFFLE,Affle 3i Ltd,Information Technology,30.21,40.72,32.76,55.13,FY2020-FY2024,2024-06-25
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,21.33,10.22,12.26,34.94,FY2020-FY2024,2024-06-25
ALKEM,Alkem Laboratories Ltd,Healthcare,18.96,8.71,9.76,29.85,FY2020-FY2024,2024-06-25
ABDL,Allied Blenders & Distillers Ltd,Fast Moving Consumer Goods,0.51,2.12,-33.54,,FY2020-FY2024,2024-06-25
ARE&M,Amara Raja Energy & Mobility Ltd,Automobile and Auto Components,15.1,11.35,5.7,25.26,FY2020-FY2024,2024-06-25
AMBER,Amber Enterprises India Ltd,Consumer Durables,8.85,11.17,-4.77,83.74,FY2020-FY2024,2024-06-25
AMBUJACEM,Ambuja Cements Ltd,Construction Materials,7.13,,,62.32,FY2020-FY2024,2024-06-25
ANANDRATHI,Anand Rathi Wealth Ltd,Financial Services,37.32,17.48,18.84,66.95,FY2020-FY2024,2024-06-25
ANANTRAJ,Anant Raj Ltd,Realty,3.44,39.97,53.0,48.86,FY2020-FY2024,2024-06-25
ANGELONE,Angel One Ltd,Financial Services,37.19,41.69,63.7,18.62,FY2020-FY2024,2024-06-25
ANTHEM,Anthem Biosciences Ltd,Healthcare,33.17,17.52,-43.15,,FY2020-FY2024,2024-06-25
ANURAS,Anupam Rasayan India Ltd,Chemicals,8.6,22.76,1.93,90.13,FY2020-FY2024,2024-06-25
APARINDS,Apar Industries Ltd,Capital Goods,19.94,16.82,42.21,39.96,FY2020-FY2024,2024-06-25
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,13.32,11.13,13.83,85.53,FY2020-FY2024,2024-06-25
APOLLOTYRE,Apollo Tyres Ltd,Automobile and Auto Components,7.03,9.19,26.62,19.59,FY2020-FY2024,2024-06-25
APTUS,Aptus Value Housing Finance India Ltd,Financial Services,16.08,22.25,-11.62,26.29,FY2020-FY2024,2024-06-25
ASAHIINDIA,Asahi India Glass Ltd,Automobile and Auto Components,15.31,10.43,16.37,54.54,FY2020-FY2024,2024-06-25
ASHOKLEY,Ashok Leyland Ltd,Capital Goods,9.75,15.8,49.31,28.25,FY2020-FY2024,2024-06-25
ASIANPAINT,Asian Paints Ltd,Consumer Durables,27.92,11.92,15.08,54.59,FY2020-FY2024,2024-06-25
ASTERDM,Aster DM Healthcare Ltd,Healthcare,9.98,-15.63,-14.11,3.48,FY2020-FY2024,2024-06-25
ASTRAL,Astral Ltd,Capital Goods,20.47,16.95,17.06,111.73,FY2020-FY2024,2024-06-25
ATHERENERG,Ather Energy Ltd,Automobile and Auto Components,-131.76,118.77,,,FY2020-FY2024,2024-06-25
ATUL,Atul Ltd,Chemicals,14.84,2.92,-13.36,57.67,FY2020-FY2024,2024-06-25
AUROPHARMA,Aurobindo Pharma Ltd,Healthcare,15.22,4.66,2.2,20.65,FY2020-FY2024,2024-06-25
AIIL,Authum Investment & Infrastructure Ltd,Financial Services,17.9,,,4.82,FY2020-FY2024,2024-06-25
DMART,Avenue Supermarts Ltd,Consumer Services,13.43,15.35,14.17,117.94,FY2020-FY2024,2024-06-25
AXISBANK,Axis Bank Ltd,Banks,10.03,12.09,67.06,14.28,FY2020-FY2024,2024-06-25
BEML,BEML Ltd,Capital Goods,5.86,6.03,34.56,63.53,FY2020-FY2024,2024-06-25
BLS,BLS International Services Ltd,Consumer Services,21.59,16.36,42.8,41.53,FY2020-FY2024,2024-06-25
BSE,BSE Ltd,Financial Services,10.64,20.82,44.72,57.66,FY2020-FY2024,2024-06-25
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile and Auto Components,22.31,8.44,8.92,33.72,FY2020-FY2024,2024-06-25
BAJFINANCE,Bajaj Finance Ltd,Financial Services,19.19,15.82,21.69,29.42,FY2020-FY2024,2024-06-25
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,24.6,15.22,19.26,30.2,FY2020-FY2024,2024-06-25
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financial Services,11.83,31.37,19.42,12.27,FY2020-FY2024,2024-06-25
BAJAJHFL,Bajaj Housing Finance Ltd,Financial Services,12.18,23.55,24.57,,FY2020-FY2024,2024-06-25
BALKRISIND,Balkrishna Industries Ltd,Automobile and Auto Components,19.2,14.26,8.93,38.17,FY2020-FY2024,2024-06-25
BALRAMCHIN,Balrampur Chini Mills Ltd,Fast Moving Consumer Goods,17.24,3.36,2.33,16.84,FY2020-FY2024,2024-06-25
BANDHANBNK,Bandhan Bank Ltd,Banks,11.97,11.63,-5.92,13.1,FY2020-FY2024,2024-06-25
BANKBARODA,Bank of Baroda,Banks,8.93,8.45,78.37,7.59,FY2020-FY2024,2024-06-25
BANKINDIA,Bank of India,Banks,4.32,7.47,,8.35,FY2020-FY2024,2024-06-25
MAHABANK,Bank of Maharashtra,Banks,11.74,12.26,53.26,10.28,FY2020-FY2024,2024-06-25
BATAINDIA,Bata India Ltd,Consumer Durables,11.32,2.63,-4.41,56.99,FY2020-FY2024,2024-06-25
BAYERCROP,Bayer CropScience Ltd,Chemicals,23.99,7.19,9.31,43.94,FY2020-FY2024,2024-06-25
BELRISE,Belrise Industries Ltd,Automobile and Auto Components,14.37,9.52,,,FY2020-FY2024,2024-06-25
BERGEPAINT,Berger Paints India Ltd,Consumer Durables,23.3,11.96,12.18,50.17,FY2020-FY2024,2024-06-25
BDL,Bharat Dynamics Ltd,Capital Goods,15.68,-5.27,2.75,97.05,FY2020-FY2024,2024-06-25
BEL,Bharat Electronics Ltd,Capital Goods,21.72,9.34,16.87,52.58,FY2020-FY2024,2024-06-25
BHARATFORG,Bharat Forge Ltd,Automobile and Auto Components,8.59,14.25,22.16,87.65,FY2020-FY2024,2024-06-25
BHEL,Bharat Heavy Electricals Ltd,Capital Goods,-1.93,2.17,,398.72,FY2020-FY2024,2024-06-25
BPCL,Bharat Petroleum Corporation Ltd,Oil Gas & Consumable Fuels,23.2,9.5,54.47,7.0,FY2020-FY2024,2024-06-25
BHARTIARTL,Bharti Airtel Ltd,Telecommunication,-12.79,11.62,,133.59,FY2020-FY2024,2024-06-25
BHARTIHEXA,Bharti Hexacom Ltd,Telecommunication,-3.69,12.85,,96.74,FY2020-FY2024,2024-06-25
BIKAJI,Bikaji Foods International Ltd,Fast Moving Consumer Goods,16.51,16.72,-14.47,64.62,FY2020-FY2024,2024-06-25
GROWW,Billionbrains Garage Ventures Ltd,Financial Services,-13.44,,,,FY2020-FY2024,2024-06-25
BIOCON,Biocon Ltd,Healthcare,9.36,18.56,6.43,26.25,FY2020-FY2024,2024-06-25
BSOFT,Birlasoft Ltd,Information Technology,16.72,9.91,22.76,29.52,FY2020-FY2024,2024-06-25
BLUEDART,Blue Dart Express Ltd,Services,21.92,10.72,,65.39,FY2020-FY2024,2024-06-25
BLUEJET,Blue Jet Healthcare Ltd,Healthcare,35.75,5.76,-79.18,46.75,FY2020-FY2024,2024-06-25
BLUESTARCO,Blue Star Ltd,Consumer Durables,20.47,12.56,22.09,69.35,FY2020-FY2024,2024-06-25
BBTC,The Bombay Burmah Trading Corporation Ltd,Fast Moving Consumer Goods,18.73,7.55,1.25,10.83,FY2020-FY2024,2024-06-25
BOSCHLTD,Bosch Ltd,Automobile and Auto Components,11.75,11.19,30.85,37.74,FY2020-FY2024,2024-06-25
FIRSTCRY,Brainbees Solutions Ltd,Consumer Services,-0.81,21.83,,,FY2020-FY2024,2024-06-25
BRIGADE,Brigade Enterprises Ltd,Realty,3.52,13.22,25.07,63.16,FY2020-FY2024,2024-06-25
BRITANNIA,Britannia Industries Ltd,Fast Moving Consumer Goods,52.31,7.65,8.78,58.68,FY2020-FY2024,2024-06-25
MAPMYINDIA,C.E. Info Systems Ltd,Information Technology,22.85,20.53,-16.36,99.51,FY2020-FY2024,2024-06-25
CCL,CCL Products (India) Ltd,Fast Moving Consumer Goods,18.14,18.43,8.48,30.7,FY2020-FY2024,2024-06-25
CESC,CESC Ltd,Power,13.66,4.69,1.66,14.2,FY2020-FY2024,2024-06-25
CGPOWER,CG Power & Industrial Solutions Ltd,Capital Goods,34.74,19.15,,99.31,FY2020-FY2024,2024-06-25
CIEINDIA,CIE Automotive India Ltd,Automobile and Auto Components,,,,36.89,FY2020-FY2024,2024-06-25
CRISIL,CRISIL Ltd,Financial Services,,,,53.52,FY2020-FY2024,2024-06-25
CANFINHOME,Can Fin Homes Ltd,Financial Services,18.43,11.66,14.82,14.95,FY2020-FY2024,2024-06-25
CANBK,Canara Bank,Banks,8.34,17.3,,7.24,FY2020-FY2024,2024-06-25
CANHLIFE,Canara HSBC Life Insurance Company Ltd,Financial Services,5.88,30.96,1.4,,FY2020-FY2024,2024-06-25
CAPLIPOINT,Caplin Point Laboratories Ltd,Healthcare,26.86,14.44,16.19,22.64,FY2020-FY2024,2024-06-25
CGCL,Capri Global Capital Ltd,Financial Services,9.63,26.4,11.58,62.39,FY2020-FY2024,2024-06-25
CARBORUNIV,Carborundum Universal Ltd,Capital Goods,15.73,12.59,11.01,70.0,FY2020-FY2024,2024-06-25
CARTRADE,Cartrade Tech Ltd,Consumer Services,1.2,10.46,-45.5,171.9,FY2020-FY2024,2024-06-25
CASTROLIND,Castrol India Ltd,Oil Gas & Consumable Fuels,,,,23.51,FY2020-FY2024,2024-06-25
CEATLTD,CEAT Ltd,Automobile and Auto Components,9.31,11.99,22.68,15.62,FY2020-FY2024,2024-06-25
CEMPRO,Cemindia Projects Ltd,Construction,8.53,21.95,44.71,25.37,FY2020-FY2024,2024-06-25
CENTRALBK,Central Bank of India,Banks,1.71,5.45,,18.59,FY2020-FY2024,2024-06-25
CDSL,Central Depository Services (India) Ltd,Financial Services,25.51,29.26,31.6,44.16,FY2020-FY2024,2024-06-25
CHALET,Chalet Hotels Ltd,Consumer Services,4.11,7.63,22.0,69.61,FY2020-FY2024,2024-06-25
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Chemicals,27.6,8.04,1.57,15.3,FY2020-FY2024,2024-06-25
CHENNPETRO,Chennai Petroleum Corporation Ltd,Oil Gas & Consumable Fuels,20.78,12.3,,5.76,FY2020-FY2024,2024-06-25
CHOICEIN,Choice International Ltd,Financial Services,13.31,41.77,39.54,55.1,FY2020-FY2024,2024-06-25
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Financial Services,36.67,14.48,26.33,12.34,FY2020-FY2024,2024-06-25
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financial Services,18.49,17.08,25.93,32.04,FY2020-FY2024,2024-06-25
CIPLA,Cipla Ltd,Healthcare,13.23,8.51,21.63,28.92,FY2020-FY2024,2024-06-25
CUB,City Union Bank Ltd,Banks,11.69,4.8,16.21,11.47,FY2020-FY2024,2024-06-25
CLEAN,Clean Science & Technology Ltd,Chemicals,36.11,13.55,-53.46,61.52,FY2020-FY2024,2024-06-25
COALINDIA,Coal India Ltd,Oil Gas & Consumable Fuels,50.14,8.54,17.48,7.82,FY2020-FY2024,2024-06-25
COCHINSHIP,Cochin Shipyard Ltd,Capital Goods,14.11,2.28,4.39,65.31,FY2020-FY2024,2024-06-25
COFORGE,Coforge Ltd,Information Technology,23.63,16.58,12.96,43.38,FY2020-FY2024,2024-06-25
COHANCE,Cohance Lifesciences Ltd,Healthcare,27.59,4.73,-1.07,71.18,FY2020-FY2024,2024-06-25
COLPAL,Colgate-Palmolive (India) Ltd,Fast Moving Consumer Goods,67.49,4.65,10.15,54.37,FY2020-FY2024,2024-06-25
CAMS,Computer Age Management Services Ltd,Financial Services,40.75,10.19,15.34,45.27,FY2020-FY2024,2024-06-25
CONCORDBIO,Concord Biotech Ltd,Healthcare,21.27,14.71,-30.2,52.11,FY2020-FY2024,2024-06-25
CONCOR,Container Corporation Of India Ltd,Services,8.13,5.79,25.58,65.28,FY2020-FY2024,2024-06-25
COROMANDEL,Coromandel International Ltd,Chemicals,25.91,10.92,8.94,31.27,FY2020-FY2024,2024-06-25
CRAFTSMAN,Craftsman Automation Ltd,Automobile and Auto Components,14.96,24.44,48.61,36.94,FY2020-FY2024,2024-06-25
CREDITACC,CreditAccess Grameen Ltd,Financial Services,13.76,24.84,31.39,15.69,FY2020-FY2024,2024-06-25
CROMPTON,Crompton Greaves Consumer Electricals Ltd,Consumer Durables,27.11,10.1,-2.86,57.87,FY2020-FY2024,2024-06-25
CUMMINSIND,Cummins India Ltd,Capital Goods,19.94,11.63,19.52,59.09,FY2020-FY2024,2024-06-25
CYIENT,Cyient Ltd,Information Technology,15.5,10.05,14.61,31.49,FY2020-FY2024,2024-06-25
DCMSHRIRAM,DCM Shriram Ltd,Diversified,15.64,7.06,-9.01,32.34,FY2020-FY2024,2024-06-25
DLF,DLF Ltd,Realty,6.12,6.47,-11.21,196.35,FY2020-FY2024,2024-06-25
DOMS,DOMS Industries Ltd,Fast Moving Consumer Goods,16.88,18.64,-51.78,70.69,FY2020-FY2024,2024-06-25
DABUR,Dabur India Ltd,Fast Moving Consumer Goods,21.59,7.39,4.92,55.66,FY2020-FY2024,2024-06-25
DALBHARAT,Dalmia Bharat Ltd,Construction Materials,6.07,8.71,30.56,40.85,FY2020-FY2024,2024-06-25
DATAPATTNS,Data Patterns (India) Ltd,Capital Goods,19.69,27.23,-23.5,87.43,FY2020-FY2024,2024-06-25
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp Ltd,Chemicals,15.55,13.12,33.37,16.09,FY2020-FY2024,2024-06-25
DEEPAKNTR,Deepak Nitrite Ltd,Chemicals,32.92,12.67,5.82,40.21,FY2020-FY2024,2024-06-25
DELHIVERY,Delhivery Ltd,Services,-10.37,21.83,,,FY2020-FY2024,2024-06-25
DEVYANI,Devyani International Ltd,Consumer Services,-16.79,20.47,,,FY2020-FY2024,2024-06-25
DIVISLAB,Divis Laboratories Ltd,Healthcare,19.68,7.78,3.06,71.7,FY2020-FY2024,2024-06-25
DIXON,Dixon Technologies (India) Ltd,Consumer Durables,24.1,32.09,24.19,159.4,FY2020-FY2024,2024-06-25
