ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
360ONE,360 ONE WAM Ltd,Financial Services,19.52,17.37,19.73,32.82,FY2021-FY2025,2026-03-25
3MINDIA,3M India Ltd,Diversified,17.86,12.94,26.1,67.08,FY2021-FY2025,2026-03-25
ABB,ABB India Ltd,Capital Goods,,,,43.0,FY2021-FY2025,2026-03-25
ACC,ACC Ltd,Construction Materials,14.14,,,10.92,FY2021-FY2025,2026-03-25
ACMESOLAR,ACME Solar Holdings Ltd,Power,8.46,-3.65,23.35,28.83,FY2021-FY2025,2026-03-25
AIAENG,AIA Engineering Ltd,Capital Goods,16.45,8.27,13.62,24.36,FY2021-FY2025,2026-03-25
APLAPOLLO,APL Apollo Tubes Ltd,Capital Goods,24.3,19.47,13.6,43.7,FY2021-FY2025,2026-03-25
AUBANK,AU Small Finance Bank Ltd,Banks,16.21,26.55,8.57,24.02,FY2021-FY2025,2026-03-25
AWL,AWL Agri Business Ltd,Fast Moving Consumer Goods,12.52,11.41,-31.76,21.87,FY2021-FY2025,2026-03-25
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,15.98,14.56,19.65,17.62,FY2021-FY2025,2026-03-25
AARTIIND,Aarti Industries Ltd,Chemicals,14.37,10.04,-9.48,35.05,FY2021-FY2025,2026-03-25
AAVAS,AAVAS Financiers Ltd,Financial Services,13.76,16.38,14.48,12.99,FY2021-FY2025,2026-03-25
ABBOTINDIA,Abbott India Ltd,Healthcare,31.81,8.26,15.41,34.89,FY2021-FY2025,2026-03-25
ACE,Action Construction Equipment Ltd,Capital Goods,22.59,22.08,37.35,22.65,FY2021-FY2025,2026-03-25
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,19.7,24.18,17.73,52.13,FY2021-FY2025,2026-03-25
ADANIENSOL,Adani Energy Solutions Ltd,Power,10.98,19.08,-4.55,49.84,FY2021-FY2025,2026-03-25
ADANIENT,Adani Enterprises Ltd,Metals & Mining,9.21,19.88,49.01,25.37,FY2021-FY2025,2026-03-25
ADANIGREEN,Adani Green Energy Ltd,Power,15.91,29.12,46.75,80.92,FY2021-FY2025,2026-03-25
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Services,15.98,19.42,15.88,22.7,FY2021-FY2025,2026-03-25
ADANIPOWER,Adani Power Ltd,Power,34.28,16.47,59.01,22.2,FY2021-FY2025,2026-03-25
ATGL,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,21.65,24.14,7.16,86.17,FY2021-FY2025,2026-03-25
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,14.65,16.1,22.36,20.5,FY2021-FY2025,2026-03-25
ABFRL,Aditya Birla Fashion & Retail Ltd,Consumer Services,-8.37,1.6,,,FY2021-FY2025,2026-03-25
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,,,,82.39,FY2021-FY2025,2026-03-25
ABREL,Aditya Birla Real Estate Ltd,Realty,3.68,-34.16,,35.26,FY2021-FY2025,2026-03-25
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,29.81,10.52,-35.65,26.33,FY2021-FY2025,2026-03-25
CPPLUS,Aditya Infotech Ltd,Capital Goods,34.61,22.05,-22.88,52.15,FY2021-FY2025,2026-03-25
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,17.41,11.97,24.34,22.98,FY2021-FY2025,2026-03-25
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,4.55,,,71.28,FY2021-FY2025,2026-03-25
AFCONS,Afcons Infrastructure Ltd,Construction,13.57,6.0,-10.61,39.59,FY2021-FY2025,2026-03-25
AFFLE,Affle 3i Ltd,Information Technology,24.28,34.39,20.79,39.24,FY2021-FY2025,2026-03-25
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,22.46,9.97,7.9,33.09,FY2021-FY2025,2026-03-25
ALKEM,Alkem Laboratories Ltd,Healthcare,18.97,7.9,6.44,26.72,FY2021-FY2025,2026-03-25
ABDL,Allied Blenders & Distillers Ltd,Fast Moving Consumer Goods,4.41,8.43,129.28,47.08,FY2021-FY2025,2026-03-25
ARE&M,Amara Raja Energy & Mobility Ltd,Automobile and Auto Components,13.98,12.43,6.39,14.85,FY2021-FY2025,2026-03-25
AMBER,Amber Enterprises India Ltd,Consumer Durables,8.05,26.9,24.35,121.86,FY2021-FY2025,2026-03-25
AMBUJACEM,Ambuja Cements Ltd,Construction Materials,6.86,,,25.41,FY2021-FY2025,2026-03-25
ANANDRATHI,Anand Rathi Wealth Ltd,Financial Services,38.39,29.13,34.77,61.06,FY2021-FY2025,2026-03-25
ANANTRAJ,Anant Raj Ltd,Realty,5.43,52.47,102.97,28.04,FY2021-FY2025,2026-03-25
ANGELONE,Angel One Ltd,Financial Services,39.68,32.37,29.02,21.94,FY2021-FY2025,2026-03-25
ANTHEM,Anthem Biosciences Ltd,Healthcare,30.7,10.84,-52.09,59.63,FY2021-FY2025,2026-03-25
ANURAS,Anupam Rasayan India Ltd,Chemicals,7.71,12.12,3.82,82.46,FY2021-FY2025,2026-03-25
APARINDS,Apar Industries Ltd,Capital Goods,21.57,23.81,37.28,40.31,FY2021-FY2025,2026-03-25
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,14.7,15.59,57.25,52.91,FY2021-FY2025,2026-03-25
APOLLOTYRE,Apollo Tyres Ltd,Automobile and Auto Components,7.64,8.47,26.23,18.5,FY2021-FY2025,2026-03-25
APTUS,Aptus Value Housing Finance India Ltd,Financial Services,16.29,22.28,-12.18,10.68,FY2021-FY2025,2026-03-25
ASAHIINDIA,Asahi India Glass Ltd,Automobile and Auto Components,15.83,13.67,22.79,58.83,FY2021-FY2025,2026-03-25
ASHOKLEY,Ashok Leyland Ltd,Capital Goods,16.71,20.43,,26.69,FY2021-FY2025,2026-03-25
ASIANPAINT,Asian Paints Ltd,Consumer Durables,26.15,9.32,3.16,47.04,FY2021-FY2025,2026-03-25
ASTERDM,Aster DM Healthcare Ltd,Healthcare,37.92,-13.63,105.19,82.95,FY2021-FY2025,2026-03-25
ASTRAL,Astral Ltd,Capital Goods,19.93,12.92,5.25,77.89,FY2021-FY2025,2026-03-25
ATHERENERG,Ather Energy Ltd,Automobile and Auto Components,-131.76,94.99,,,FY2021-FY2025,2026-03-25
ATUL,Atul Ltd,Chemicals,12.13,8.39,-5.8,26.5,FY2021-FY2025,2026-03-25
AUROPHARMA,Aurobindo Pharma Ltd,Healthcare,13.75,5.07,-8.0,21.19,FY2021-FY2025,2026-03-25
AIIL,Authum Investment & Infrastructure Ltd,Financial Services,26.01,77.95,97.14,21.26,FY2021-FY2025,2026-03-25
DMART,Avenue Supermarts Ltd,Consumer Services,13.01,19.71,19.65,80.11,FY2021-FY2025,2026-03-25
AXISBANK,Axis Bank Ltd,Banks,12.82,14.62,30.99,13.77,FY2021-FY2025,2026-03-25
BEML,BEML Ltd,Capital Goods,7.39,2.49,33.54,82.45,FY2021-FY2025,2026-03-25
BLS,BLS International Services Ltd,Consumer Services,26.35,35.62,58.85,13.29,FY2021-FY2025,2026-03-25
BSE,BSE Ltd,Financial Services,16.58,38.51,55.6,44.23,FY2021-FY2025,2026-03-25
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile and Auto Components,22.23,12.95,9.34,22.82,FY2021-FY2025,2026-03-25
BAJFINANCE,Bajaj Finance Ltd,Financial Services,19.01,21.18,29.57,26.58,FY2021-FY2025,2026-03-25
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,25.53,17.17,14.62,27.33,FY2021-FY2025,2026-03-25
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financial Services,11.85,10.09,12.31,10.58,FY2021-FY2025,2026-03-25
BAJAJHFL,Bajaj Housing Finance Ltd,Financial Services,12.44,24.86,22.83,25.57,FY2021-FY2025,2026-03-25
BALKRISIND,Balkrishna Industries Ltd,Automobile and Auto Components,18.66,12.56,7.05,31.73,FY2021-FY2025,2026-03-25
BALRAMCHIN,Balrampur Chini Mills Ltd,Fast Moving Consumer Goods,15.09,2.39,-1.08,25.27,FY2021-FY2025,2026-03-25
BANDHANBNK,Bandhan Bank Ltd,Banks,9.77,11.87,4.48,19.52,FY2021-FY2025,2026-03-25
BANKBARODA,Bank of Baroda,Banks,11.77,11.48,68.04,6.93,FY2021-FY2025,2026-03-25
BANKINDIA,Bank of India,Banks,8.03,11.78,26.95,6.35,FY2021-FY2025,2026-03-25
