ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
360ONE,360 ONE WAM Ltd,Financial Services,19.52,17.37,19.73,42.49,FY2021-FY2025,2025-06-25
3MINDIA,3M India Ltd,Diversified,17.86,12.94,26.1,64.4,FY2021-FY2025,2025-06-25
ABB,ABB India Ltd,Capital Goods,,,,69.91,FY2021-FY2025,2025-06-25
ACC,ACC Ltd,Construction Materials,14.14,,,13.97,FY2021-FY2025,2025-06-25
ACMESOLAR,ACME Solar Holdings Ltd,Power,8.46,-3.65,23.35,38.74,FY2021-FY2025,2025-06-25
AIAENG,AIA Engineering Ltd,Capital Goods,16.45,8.27,13.62,27.83,FY2021-FY2025,2025-06-25
APLAPOLLO,APL Apollo Tubes Ltd,Capital Goods,24.3,19.47,13.6,62.07,FY2021-FY2025,2025-06-25
AUBANK,AU Small Finance Bank Ltd,Banks,16.21,26.55,8.57,27.15,FY2021-FY2025,2025-06-25
AWL,AWL Agri Business Ltd,Fast Moving Consumer Goods,12.52,11.41,-31.76,28.99,FY2021-FY2025,2025-06-25
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,15.98,14.56,19.65,20.11,FY2021-FY2025,2025-06-25
AARTIIND,Aarti Industries Ltd,Chemicals,14.37,10.04,-9.48,68.07,FY2021-FY2025,2025-06-25
AAVAS,AAVAS Financiers Ltd,Financial Services,13.76,16.38,14.48,24.79,FY2021-FY2025,2025-06-25
ABBOTINDIA,Abbott India Ltd,Healthcare,31.81,8.26,15.41,45.43,FY2021-FY2025,2025-06-25
ACE,Action Construction Equipment Ltd,Capital Goods,22.59,22.08,37.35,32.87,FY2021-FY2025,2025-06-25
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,19.7,24.18,17.73,47.54,FY2021-FY2025,2025-06-25
ADANIENSOL,Adani Energy Solutions Ltd,Power,10.98,19.08,-4.55,41.94,FY2021-FY2025,2025-06-25
ADANIENT,Adani Enterprises Ltd,Metals & Mining,9.21,19.88,49.01,49.93,FY2021-FY2025,2025-06-25
ADANIGREEN,Adani Green Energy Ltd,Power,15.91,29.12,46.75,89.85,FY2021-FY2025,2025-06-25
