ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
360ONE,360 ONE WAM Ltd,Financial Services,19.87,16.05,12.96,37.21,FY2022-FY2026,2026-06-25
3MINDIA,3M India Ltd,Diversified,22.25,10.58,14.43,72.5,FY2022-FY2026,2026-06-25
ABB,ABB India Ltd,Capital Goods,,,,50.95,FY2022-FY2026,2026-06-25
ACC,ACC Ltd,Construction Materials,13.37,,,10.92,FY2022-FY2026,2026-06-25
ACMESOLAR,ACME Solar Holdings Ltd,Power,10.34,6.34,6.74,42.63,FY2022-FY2026,2026-06-25
AIAENG,AIA Engineering Ltd,Capital Goods,17.0,4.38,15.68,35.9,FY2022-FY2026,2026-06-25
APLAPOLLO,APL Apollo Tubes Ltd,Capital Goods,24.02,12.06,11.87,42.5,FY2022-FY2026,2026-06-25
AUBANK,AU Small Finance Bank Ltd,Banks,14.67,25.77,14.5,29.02,FY2022-FY2026,2026-06-25
AWL,AWL Agri Business Ltd,Fast Moving Consumer Goods,9.65,6.65,5.4,22.92,FY2022-FY2026,2026-06-25
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,16.44,16.28,17.41,19.61,FY2022-FY2026,2026-06-25
AARTIIND,Aarti Industries Ltd,Chemicals,12.52,6.37,-18.78,40.97,FY2022-FY2026,2026-06-25
AAVAS,AAVAS Financiers Ltd,Financial Services,13.97,15.52,12.82,17.56,FY2022-FY2026,2026-06-25
ABBOTINDIA,Abbott India Ltd,Healthcare,33.21,7.09,14.21,35.01,FY2022-FY2026,2026-06-25
ACE,Action Construction Equipment Ltd,Capital Goods,23.86,15.01,31.64,28.91,FY2022-FY2026,2026-06-25
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,16.73,20.82,34.54,75.32,FY2022-FY2026,2026-06-25
ADANIENSOL,Adani Energy Solutions Ltd,Power,10.03,19.63,11.65,78.62,FY2022-FY2026,2026-06-25
ADANIENT,Adani Enterprises Ltd,Metals & Mining,11.02,7.67,62.92,41.01,FY2022-FY2026,2026-06-25
ADANIGREEN,Adani Green Energy Ltd,Power,16.79,20.29,26.23,149.77,FY2022-FY2026,2026-06-25
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Services,15.59,17.74,19.16,31.06,FY2022-FY2026,2026-06-25
ADANIPOWER,Adani Power Ltd,Power,35.97,14.38,21.17,34.74,FY2022-FY2026,2026-06-25
ATGL,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,19.11,14.17,5.18,120.14,FY2022-FY2026,2026-06-25
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,15.35,15.4,15.27,26.67,FY2022-FY2026,2026-06-25
ABFRL,Aditya Birla Fashion & Retail Ltd,Consumer Services,-2.34,-5.47,,,FY2022-FY2026,2026-06-25
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,10.04,,,87.62,FY2022-FY2026,2026-06-25
ABREL,Aditya Birla Real Estate Ltd,Realty,5.06,-42.43,11.16,41.26,FY2022-FY2026,2026-06-25
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,27.87,5.6,7.64,35.5,FY2022-FY2026,2026-06-25
CPPLUS,Aditya Infotech Ltd,Capital Goods,36.43,20.72,-39.57,113.09,FY2022-FY2026,2026-06-25
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,18.78,12.47,20.22,41.25,FY2022-FY2026,2026-06-25
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,5.44,,,94.62,FY2022-FY2026,2026-06-25
AFCONS,Afcons Infrastructure Ltd,Construction,12.69,1.63,-32.69,45.91,FY2022-FY2026,2026-06-25
AFFLE,Affle 3i Ltd,Information Technology,17.87,20.15,15.02,45.34,FY2022-FY2026,2026-06-25
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,22.87,10.29,8.73,37.71,FY2022-FY2026,2026-06-25
ALKEM,Alkem Laboratories Ltd,Healthcare,17.83,6.71,6.94,28.13,FY2022-FY2026,2026-06-25
ABDL,Allied Blenders & Distillers Ltd,Fast Moving Consumer Goods,6.99,7.87,167.12,76.05,FY2022-FY2026,2026-06-25
ARE&M,Amara Raja Energy & Mobility Ltd,Automobile and Auto Components,13.01,9.7,10.28,17.24,FY2022-FY2026,2026-06-25
AMBER,Amber Enterprises India Ltd,Consumer Durables,8.19,23.71,9.27,150.9,FY2022-FY2026,2026-06-25
AMBUJACEM,Ambuja Cements Ltd,Construction Materials,6.91,,,26.66,FY2022-FY2026,2026-06-25
ANANDRATHI,Anand Rathi Wealth Ltd,Financial Services,43.68,24.2,25.68,80.33,FY2022-FY2026,2026-06-25
ANANTRAJ,Anant Raj Ltd,Realty,7.6,40.31,52.66,33.15,FY2022-FY2026,2026-06-25
ANGELONE,Angel One Ltd,Financial Services,35.9,17.52,5.92,33.97,FY2022-FY2026,2026-06-25
ANTHEM,Anthem Biosciences Ltd,Healthcare,25.38,11.53,-53.05,73.62,FY2022-FY2026,2026-06-25
ANURAS,Anupam Rasayan India Ltd,Chemicals,7.84,17.1,-0.32,84.38,FY2022-FY2026,2026-06-25
APARINDS,Apar Industries Ltd,Capital Goods,23.03,19.71,29.38,68.48,FY2022-FY2026,2026-06-25
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,18.54,11.46,12.96,62.86,FY2022-FY2026,2026-06-25
APOLLOTYRE,Apollo Tyres Ltd,Automobile and Auto Components,8.73,6.33,16.52,19.61,FY2022-FY2026,2026-06-25
APTUS,Aptus Value Housing Finance India Ltd,Financial Services,17.42,21.88,20.38,13.94,FY2022-FY2026,2026-06-25
ASAHIINDIA,Asahi India Glass Ltd,Automobile and Auto Components,16.01,9.5,-0.95,63.51,FY2022-FY2026,2026-06-25
ASHOKLEY,Ashok Leyland Ltd,Capital Goods,23.38,15.2,45.84,24.95,FY2022-FY2026,2026-06-25
ASIANPAINT,Asian Paints Ltd,Consumer Durables,24.87,4.1,7.38,59.01,FY2022-FY2026,2026-06-25
ASTERDM,Aster DM Healthcare Ltd,Healthcare,39.08,-14.65,-6.59,102.25,FY2022-FY2026,2026-06-25
ASTRAL,Astral Ltd,Capital Goods,17.91,8.37,1.96,76.25,FY2022-FY2026,2026-06-25
ATHERENERG,Ather Energy Ltd,Automobile and Auto Components,-118.2,55.18,,,FY2022-FY2026,2026-06-25
ATUL,Atul Ltd,Chemicals,10.68,4.31,2.43,28.26,FY2022-FY2026,2026-06-25
AUROPHARMA,Aurobindo Pharma Ltd,Healthcare,10.23,7.49,5.95,25.43,FY2022-FY2026,2026-06-25
AIIL,Authum Investment & Infrastructure Ltd,Financial Services,25.72,22.68,23.49,23.86,FY2022-FY2026,2026-06-25
DMART,Avenue Supermarts Ltd,Consumer Services,13.71,17.31,14.61,96.27,FY2022-FY2026,2026-06-25
AXISBANK,Axis Bank Ltd,Banks,13.93,14.0,13.04,16.04,FY2022-FY2026,2026-06-25
BEML,BEML Ltd,Capital Goods,7.75,0.06,1.88,102.57,FY2022-FY2026,2026-06-25
BLS,BLS International Services Ltd,Consumer Services,31.0,28.67,43.72,15.73,FY2022-FY2026,2026-06-25
BSE,BSE Ltd,Financial Services,24.39,41.87,57.78,64.23,FY2022-FY2026,2026-06-25
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile and Auto Components,23.98,13.67,12.53,26.07,FY2022-FY2026,2026-06-25
BAJFINANCE,Bajaj Finance Ltd,Financial Services,20.13,20.98,21.36,31.48,FY2022-FY2026,2026-06-25
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,26.38,17.08,16.42,28.79,FY2022-FY2026,2026-06-25
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financial Services,12.48,17.19,18.9,12.26,FY2022-FY2026,2026-06-25
BAJAJHFL,Bajaj Housing Finance Ltd,Financial Services,13.29,24.23,16.19,28.54,FY2022-FY2026,2026-06-25
BALKRISIND,Balkrishna Industries Ltd,Automobile and Auto Components,16.71,5.46,-2.84,34.59,FY2022-FY2026,2026-06-25
BALRAMCHIN,Balrampur Chini Mills Ltd,Fast Moving Consumer Goods,13.19,5.29,-3.82,28.44,FY2022-FY2026,2026-06-25
BANDHANBNK,Bandhan Bank Ltd,Banks,8.04,9.35,57.67,27.25,FY2022-FY2026,2026-06-25
BANKBARODA,Bank of Baroda,Banks,13.93,12.85,20.38,7.24,FY2022-FY2026,2026-06-25
BANKINDIA,Bank of India,Banks,9.57,14.58,21.62,6.38,FY2022-FY2026,2026-06-25
MAHABANK,Bank of Maharashtra,Banks,18.9,17.6,39.77,9.63,FY2022-FY2026,2026-06-25
BATAINDIA,Bata India Ltd,Consumer Durables,14.63,8.04,5.44,70.28,FY2022-FY2026,2026-06-25
BAYERCROP,Bayer CropScience Ltd,Chemicals,24.92,3.69,1.33,27.36,FY2022-FY2026,2026-06-25
BELRISE,Belrise Industries Ltd,Automobile and Auto Components,14.15,8.98,,45.08,FY2022-FY2026,2026-06-25
BERGEPAINT,Berger Paints India Ltd,Consumer Durables,20.94,6.28,6.23,56.49,FY2022-FY2026,2026-06-25
BDL,Bharat Dynamics Ltd,Capital Goods,14.25,-2.82,-3.41,121.24,FY2022-FY2026,2026-06-25
BEL,Bharat Electronics Ltd,Capital Goods,25.34,12.43,20.37,50.66,FY2022-FY2026,2026-06-25
BHARATFORG,Bharat Forge Ltd,Automobile and Auto Components,12.28,9.95,-0.57,95.32,FY2022-FY2026,2026-06-25
BHEL,Bharat Heavy Electricals Ltd,Capital Goods,2.78,9.76,29.15,86.92,FY2022-FY2026,2026-06-25
BPCL,Bharat Petroleum Corporation Ltd,Oil Gas & Consumable Fuels,22.65,5.59,17.21,5.18,FY2022-FY2026,2026-06-25
BHARTIARTL,Bharti Airtel Ltd,Telecommunication,21.01,12.6,43.38,41.35,FY2022-FY2026,2026-06-25
BHARTIHEXA,Bharti Hexacom Ltd,Telecommunication,27.88,11.59,-12.35,43.39,FY2022-FY2026,2026-06-25
BIKAJI,Bikaji Foods International Ltd,Fast Moving Consumer Goods,16.41,13.2,26.98,64.05,FY2022-FY2026,2026-06-25
GROWW,Billionbrains Garage Ventures Ltd,Financial Services,12.4,75.07,,54.03,FY2022-FY2026,2026-06-25
BIOCON,Biocon Ltd,Healthcare,5.92,15.64,-15.11,155.59,FY2022-FY2026,2026-06-25
BSOFT,Birlasoft Ltd,Information Technology,16.98,5.15,2.26,16.58,FY2022-FY2026,2026-06-25
BLUEDART,Blue Dart Express Ltd,Services,28.8,6.85,-8.33,47.81,FY2022-FY2026,2026-06-25
BLUEJET,Blue Jet Healthcare Ltd,Healthcare,28.2,6.75,6.42,35.99,FY2022-FY2026,2026-06-25
BLUESTARCO,Blue Star Ltd,Consumer Durables,21.98,15.38,24.12,64.77,FY2022-FY2026,2026-06-25
BBTC,The Bombay Burmah Trading Corporation Ltd,Fast Moving Consumer Goods,24.97,6.08,81.31,8.87,FY2022-FY2026,2026-06-25
BOSCHLTD,Bosch Ltd,Automobile and Auto Components,16.31,11.2,17.88,42.74,FY2022-FY2026,2026-06-25
FIRSTCRY,Brainbees Solutions Ltd,Consumer Services,-0.48,9.29,,103.41,FY2022-FY2026,2026-06-25
BRIGADE,Brigade Enterprises Ltd,Realty,8.62,13.69,48.9,26.5,FY2022-FY2026,2026-06-25
BRITANNIA,Britannia Industries Ltd,Fast Moving Consumer Goods,57.78,6.26,10.69,49.83,FY2022-FY2026,2026-06-25
MAPMYINDIA,C.E. Info Systems Ltd,Information Technology,21.23,18.84,8.44,35.51,FY2022-FY2026,2026-06-25
CCL,CCL Products (India) Ltd,Fast Moving Consumer Goods,17.78,24.97,13.61,39.88,FY2022-FY2026,2026-06-25
CESC,CESC Ltd,Power,13.06,8.16,2.56,14.74,FY2022-FY2026,2026-06-25
CGPOWER,CG Power & Industrial Solutions Ltd,Capital Goods,75.15,17.76,3.89,123.28,FY2022-FY2026,2026-06-25
CIEINDIA,CIE Automotive India Ltd,Automobile and Auto Components,,,,28.15,FY2022-FY2026,2026-06-25
CRISIL,CRISIL Ltd,Financial Services,,,,51.04,FY2022-FY2026,2026-06-25
CANFINHOME,Can Fin Homes Ltd,Financial Services,18.35,16.22,18.17,10.88,FY2022-FY2026,2026-06-25
CANBK,Canara Bank,Banks,15.66,12.34,23.89,6.62,FY2022-FY2026,2026-06-25
CANHLIFE,Canara HSBC Life Insurance Company Ltd,Financial Services,6.38,6.35,64.62,103.93,FY2022-FY2026,2026-06-25
CAPLIPOINT,Caplin Point Laboratories Ltd,Healthcare,24.31,11.5,16.35,29.53,FY2022-FY2026,2026-06-25
