ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
360ONE,360 ONE WAM Ltd,Financial Services,17.03,13.94,31.18,42.0,FY2020-FY2024,2024-09-25
3MINDIA,3M India Ltd,Diversified,19.25,7.0,12.61,65.39,FY2020-FY2024,2024-09-25
ABB,ABB India Ltd,Capital Goods,,,,100.03,FY2020-FY2024,2024-09-25
ACC,ACC Ltd,Construction Materials,14.13,,,24.89,FY2020-FY2024,2024-09-25
ACMESOLAR,ACME Solar Holdings Ltd,Power,8.8,-5.79,52.13,,FY2020-FY2024,2024-09-25
AIAENG,AIA Engineering Ltd,Capital Goods,16.6,10.32,13.98,38.24,FY2020-FY2024,2024-09-25
APLAPOLLO,APL Apollo Tubes Ltd,Capital Goods,24.84,18.6,22.47,67.9,FY2020-FY2024,2024-09-25
AUBANK,AU Small Finance Bank Ltd,Banks,16.95,19.75,15.64,28.75,FY2020-FY2024,2024-09-25
AWL,AWL Agri Business Ltd,Fast Moving Consumer Goods,13.69,11.55,-50.99,46.47,FY2020-FY2024,2024-09-25
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,14.97,13.26,-16.92,24.62,FY2020-FY2024,2024-09-25
AARTIIND,Aarti Industries Ltd,Chemicals,17.06,8.76,-5.68,46.86,FY2020-FY2024,2024-09-25
AAVAS,AAVAS Financiers Ltd,Financial Services,13.45,17.45,14.29,30.62,FY2020-FY2024,2024-09-25
ABBOTINDIA,Abbott India Ltd,Healthcare,30.02,7.4,15.17,46.86,FY2020-FY2024,2024-09-25
ACE,Action Construction Equipment Ltd,Capital Goods,19.2,20.31,42.87,47.03,FY2020-FY2024,2024-09-25
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,22.07,24.47,-15.01,70.42,FY2020-FY2024,2024-09-25
ADANIENSOL,Adani Energy Solutions Ltd,Power,11.62,7.78,8.64,234.24,FY2020-FY2024,2024-09-25
ADANIENT,Adani Enterprises Ltd,Metals & Mining,6.94,17.31,22.39,70.22,FY2020-FY2024,2024-09-25
ADANIGREEN,Adani Green Energy Ltd,Power,0.55,57.28,,,FY2020-FY2024,2024-09-25
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Services,15.17,17.61,15.18,32.08,FY2020-FY2024,2024-09-25
ADANIPOWER,Adani Power Ltd,Power,23.72,115.27,,26.05,FY2020-FY2024,2024-09-25
ATGL,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,25.07,19.0,8.86,130.73,FY2020-FY2024,2024-09-25
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,13.83,15.26,27.49,16.25,FY2020-FY2024,2024-09-25
ABFRL,Aditya Birla Fashion & Retail Ltd,Consumer Services,-10.31,-9.86,,,FY2020-FY2024,2024-09-25
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,,,,,FY2020-FY2024,2024-09-25
ABREL,Aditya Birla Real Estate Ltd,Realty,4.53,-20.3,-32.68,323.73,FY2020-FY2024,2024-09-25
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,32.19,5.78,-37.08,24.14,FY2020-FY2024,2024-09-25
CPPLUS,Aditya Infotech Ltd,Capital Goods,31.09,17.58,51.79,,FY2020-FY2024,2024-09-25
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,15.47,-0.38,40.81,46.05,FY2020-FY2024,2024-09-25
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,2.98,,,,FY2020-FY2024,2024-09-25
AFCONS,Afcons Infrastructure Ltd,Construction,14.22,5.96,-17.3,,FY2020-FY2024,2024-09-25
AFFLE,Affle 3i Ltd,Information Technology,30.21,40.72,32.76,64.57,FY2020-FY2024,2024-09-25
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,21.33,10.22,12.26,44.87,FY2020-FY2024,2024-09-25
ALKEM,Alkem Laboratories Ltd,Healthcare,18.96,8.71,9.76,33.7,FY2020-FY2024,2024-09-25
ABDL,Allied Blenders & Distillers Ltd,Fast Moving Consumer Goods,0.51,2.12,-33.54,192.2,FY2020-FY2024,2024-09-25
ARE&M,Amara Raja Energy & Mobility Ltd,Automobile and Auto Components,15.1,11.35,5.7,25.14,FY2020-FY2024,2024-09-25
AMBER,Amber Enterprises India Ltd,Consumer Durables,8.85,11.17,-4.77,90.6,FY2020-FY2024,2024-09-25
AMBUJACEM,Ambuja Cements Ltd,Construction Materials,7.13,,,66.6,FY2020-FY2024,2024-09-25
ANANDRATHI,Anand Rathi Wealth Ltd,Financial Services,37.32,17.48,18.84,61.28,FY2020-FY2024,2024-09-25
ANANTRAJ,Anant Raj Ltd,Realty,3.44,39.97,53.0,72.26,FY2020-FY2024,2024-09-25
ANGELONE,Angel One Ltd,Financial Services,37.19,41.69,63.7,17.33,FY2020-FY2024,2024-09-25
ANTHEM,Anthem Biosciences Ltd,Healthcare,33.17,17.52,-43.15,,FY2020-FY2024,2024-09-25
ANURAS,Anupam Rasayan India Ltd,Chemicals,8.6,22.76,1.93,117.01,FY2020-FY2024,2024-09-25
APARINDS,Apar Industries Ltd,Capital Goods,19.94,16.82,42.21,46.33,FY2020-FY2024,2024-09-25
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,13.32,11.13,13.83,86.93,FY2020-FY2024,2024-09-25
APOLLOTYRE,Apollo Tyres Ltd,Automobile and Auto Components,7.03,9.19,26.62,22.77,FY2020-FY2024,2024-09-25
